Region,Year,Gender,ICD-10_Cause,ICD-10_Code,1-4 years,15-24 years,25-34 years,35-44 years,45-54 years,5-14 years,55-64 years,65-74 years,75-84 years,85+ years,< 1 year
Census Region 1: Northeast,1999.0,Female,"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)",GR113-112,6.0,14.2,9.3,12.0,11.0,3.7,14.0,25.3,70.8,215.3,10.2
Census Region 1: Northeast,1999.0,Female,#Acute bronchitis and bronchiolitis (J20-J21),GR113-080,,,,,,,,,,4.8,
Census Region 1: Northeast,1999.0,Female,#Alzheimer disease (G30),GR113-052,,,,,,,1.7,13.7,98.5,499.1,
Census Region 1: Northeast,1999.0,Female,#Anemias (D50-D64),GR113-045,,,,,0.7,,0.8,2.7,10.1,40.4,
Census Region 1: Northeast,1999.0,Female,#Aortic aneurysm and dissection (I71),GR113-073,,,,,0.6,,2.8,12.4,34.3,65.9,
Census Region 1: Northeast,1999.0,Female,"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)",GR113-127,2.1,3.0,2.8,3.1,1.4,0.6,1.1,1.0,1.3,,
Census Region 1: Northeast,1999.0,Female,#Atherosclerosis (I70),GR113-071,,,,,,,1.3,4.8,23.3,154.4,
Census Region 1: Northeast,1999.0,Female,#Cerebrovascular diseases (I60-I69),GR113-070,,,1.2,4.2,10.3,,26.9,88.0,362.2,1332.7,
Census Region 1: Northeast,1999.0,Female,#Certain conditions originating in the perinatal period (P00-P96),GR113-108,,,,,,,,,,,353.7
Census Region 1: Northeast,1999.0,Female,#Cholelithiasis and other disorders of gallbladder (K80-K82),GR113-096,,,,,,,,1.4,6.1,23.3,
Census Region 1: Northeast,1999.0,Female,"#Chronic liver disease and cirrhosis (K70,K73-K74)",GR113-093,,,0.6,3.2,6.5,,10.9,19.5,26.2,19.4,
Census Region 1: Northeast,1999.0,Female,#Chronic lower respiratory diseases (J40-J47),GR113-082,,,0.9,1.7,7.2,,32.8,124.2,289.7,491.0,
Census Region 1: Northeast,1999.0,Female,"#Complications of medical and surgical care (Y40-Y84,Y88)",GR113-135,,,,,0.5,,1.2,2.7,5.2,10.8,
Census Region 1: Northeast,1999.0,Female,"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",GR113-109,2.2,0.7,1.2,0.9,1.4,0.6,1.9,2.4,3.7,7.2,117.2
Census Region 1: Northeast,1999.0,Female,#Diabetes mellitus (E10-E14),GR113-046,,,1.3,2.8,8.1,,28.5,76.3,146.9,276.4,
Census Region 1: Northeast,1999.0,Female,"#Diseases of heart (I00-I09,I11,I13,I20-I51)",GR113-054,,1.5,4.2,13.4,46.1,0.6,157.6,499.3,1624.4,6371.3,10.9
Census Region 1: Northeast,1999.0,Female,#Enterocolitis due to Clostridium difficile (A04.7),GR113-136,,,,,,,,,3.1,10.1,
Census Region 1: Northeast,1999.0,Female,"#Essential hypertension and hypertensive renal disease (I10,I12,I15)",GR113-069,,,,,1.6,,4.9,12.5,40.0,141.6,
Census Region 1: Northeast,1999.0,Female,#Hernia (K40-K46),GR113-092,,,,,,,,1.2,3.2,12.8,
Census Region 1: Northeast,1999.0,Female,#Human immunodeficiency virus (HIV) disease (B20-B24),GR113-016,,0.7,6.6,13.5,9.3,,2.8,1.3,,,
Census Region 1: Northeast,1999.0,Female,"#In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior (D00-D48)",GR113-044,,,,0.8,1.9,,4.0,12.6,33.9,78.2,
Census Region 1: Northeast,1999.0,Female,"#Infections of kidney (N10-N12,N13.6,N15.1)",GR113-102,,,,,,,,,,3.0,
Census Region 1: Northeast,1999.0,Female,#Influenza and pneumonia (J09-J18),GR113-076,,,0.7,1.9,3.0,,8.9,30.2,135.6,727.8,6.2
Census Region 1: Northeast,1999.0,Female,"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",GR113-124,,3.0,3.3,4.9,4.5,,3.9,2.9,3.9,,
