"Notes"	"Census Region"	"Census Region Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2007"	"2007"	"45-54 years"	"45-54"	"Female"	"F"	15	4258397	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2007"	"2007"	"45-54 years"	"45-54"	"Male"	"M"	17	4063024	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2007"	"2007"	"55-64 years"	"55-64"	"Female"	"F"	26	3264717	0.8
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2007"	"2007"	"55-64 years"	"55-64"	"Male"	"M"	41	2989481	1.4
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2007"	"2007"	"65-74 years"	"65-74"	"Female"	"F"	132	2014622	6.6
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2007"	"2007"	"65-74 years"	"65-74"	"Male"	"M"	112	1670925	6.7
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2007"	"2007"	"75-84 years"	"75-84"	"Female"	"F"	366	1617224	22.6
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2007"	"2007"	"75-84 years"	"75-84"	"Male"	"M"	285	1080323	26.4
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2007"	"2007"	"85+ years"	"85+"	"Female"	"F"	537	774156	69.4
	"Census Region 1: Northeast"	"CENS-R1"	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"2007"	"2007"	"85+ years"	"85+"	"Male"	"M"	283	338976	83.5
